               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 134,            0.016844,           0.0053783,                   0,                   1,             0.99849,               0.995,             0.72937,            0.023351,           0.0039964,                   0,           0.0073666,           0.0073666,           0.0073666
                 135,            0.017623,           0.0055391,                   0,                   1,             0.99888,               0.995,              0.7087,            0.024981,           0.0042353,                   0,           0.0073468,           0.0073468,           0.0073468
                 136,            0.017432,           0.0056404,                   0,             0.99897,             0.98462,             0.99378,             0.71588,            0.024264,           0.0040398,                   0,            0.007327,            0.007327,            0.007327
                 137,            0.017506,           0.0059675,                   0,             0.99928,             0.98462,             0.99485,             0.71919,            0.023383,           0.0041447,                   0,           0.0073072,           0.0073072,           0.0073072
                 138,            0.017598,           0.0056502,                   0,             0.99953,             0.98462,             0.99415,             0.71475,            0.023822,           0.0041957,                   0,           0.0072874,           0.0072874,           0.0072874
                 139,            0.016305,           0.0055601,                   0,              0.9989,             0.98462,              0.9947,             0.71715,            0.023711,           0.0040674,                   0,           0.0072676,           0.0072676,           0.0072676
                 140,             0.01658,           0.0055543,                   0,             0.99872,             0.98462,             0.99485,             0.72141,            0.023602,           0.0042877,                   0,           0.0072478,           0.0072478,           0.0072478
                 141,            0.018054,           0.0057972,                   0,              0.9988,             0.98462,             0.98774,             0.73183,            0.024182,            0.004436,                   0,            0.007228,            0.007228,            0.007228
                 142,            0.017496,           0.0054386,                   0,             0.99894,             0.98462,             0.99247,             0.72252,             0.02438,           0.0042729,                   0,           0.0072082,           0.0072082,           0.0072082
                 143,            0.017167,           0.0058168,                   0,             0.99905,             0.98462,             0.99415,             0.70899,            0.023819,            0.004106,                   0,           0.0071884,           0.0071884,           0.0071884
                 144,            0.016786,            0.005518,                   0,                   1,             0.99551,               0.995,             0.72003,            0.024097,           0.0043192,                   0,           0.0071686,           0.0071686,           0.0071686
                 145,            0.017104,           0.0054424,                   0,               0.999,             0.98462,             0.99485,             0.72806,            0.023277,           0.0039396,                   0,           0.0071488,           0.0071488,           0.0071488
                 146,            0.016644,           0.0055502,                   0,             0.99902,             0.98462,             0.99403,             0.72089,            0.024922,           0.0041437,                   0,            0.007129,            0.007129,            0.007129
                 147,            0.016248,           0.0053857,                   0,             0.99898,             0.98462,             0.99125,             0.70929,            0.025186,           0.0044274,                   0,           0.0071092,           0.0071092,           0.0071092
                 148,            0.016346,           0.0053394,                   0,             0.99891,             0.98462,             0.99119,             0.72886,            0.023757,            0.004106,                   0,           0.0070894,           0.0070894,           0.0070894
                 149,            0.016696,           0.0053405,                   0,             0.99896,             0.98462,             0.99028,             0.71349,            0.025328,           0.0042205,                   0,           0.0070696,           0.0070696,           0.0070696
