               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  65,            0.024178,            0.019531,                   0,             0.51362,             0.59494,             0.53044,             0.31927,            0.035957,              0.0152,                   0,           0.0087328,           0.0087328,           0.0087328
                  66,            0.025412,            0.022336,                   0,             0.43461,             0.63291,             0.49267,             0.31086,            0.032114,            0.015145,                   0,            0.008713,            0.008713,            0.008713
                  67,            0.024631,            0.020225,                   0,             0.58563,             0.57251,             0.57475,             0.37011,            0.031859,            0.018153,                   0,           0.0086932,           0.0086932,           0.0086932
                  68,            0.024288,            0.020091,                   0,             0.49806,              0.5778,             0.45448,             0.29253,            0.030741,            0.017023,                   0,           0.0086734,           0.0086734,           0.0086734
                  69,             0.02335,            0.019418,                   0,             0.58924,             0.55696,             0.54773,             0.35585,            0.030295,            0.018246,                   0,           0.0086536,           0.0086536,           0.0086536
                  70,            0.023678,             0.02174,                   0,              0.6025,             0.58228,             0.58169,             0.34384,            0.029686,            0.014613,                   0,           0.0086338,           0.0086338,           0.0086338
                  71,            0.022713,            0.018202,                   0,             0.53198,             0.70886,              0.5444,             0.33738,            0.032041,            0.014378,                   0,            0.008614,            0.008614,            0.008614
                  72,            0.023491,             0.01955,                   0,              0.6539,             0.62184,             0.64477,             0.38333,             0.03199,            0.014134,                   0,           0.0085942,           0.0085942,           0.0085942
                  73,            0.026315,            0.019257,                   0,             0.57614,             0.62025,             0.55939,             0.35382,            0.032367,            0.015004,                   0,           0.0085744,           0.0085744,           0.0085744
                  74,            0.024726,            0.019516,                   0,             0.70125,             0.53165,             0.58129,             0.35132,            0.033074,            0.018256,                   0,           0.0085546,           0.0085546,           0.0085546
                  75,            0.023587,            0.019931,                   0,             0.54949,             0.62025,             0.51729,             0.31001,            0.032852,            0.016531,                   0,           0.0085348,           0.0085348,           0.0085348
                  76,            0.023247,            0.020252,                   0,              0.5957,             0.60759,             0.57082,              0.3722,            0.032624,            0.016534,                   0,            0.008515,            0.008515,            0.008515
                  77,            0.023249,            0.021679,                   0,             0.66009,             0.49167,             0.48273,             0.34809,              0.0324,            0.018661,                   0,           0.0084952,           0.0084952,           0.0084952
                  78,            0.023857,             0.02249,                   0,             0.59374,             0.55696,             0.53644,             0.34522,            0.032968,            0.015316,                   0,           0.0084754,           0.0084754,           0.0084754
                  79,            0.024082,            0.019483,                   0,             0.64031,             0.48101,             0.51495,             0.36236,            0.031088,            0.015511,                   0,           0.0084556,           0.0084556,           0.0084556
                  80,            0.023672,            0.020124,                   0,             0.45402,             0.51899,             0.41811,              0.2442,             0.03343,            0.015995,                   0,           0.0084358,           0.0084358,           0.0084358
                  81,            0.023817,            0.019918,                   0,              0.5491,             0.41772,              0.4092,             0.23508,            0.035747,            0.016318,                   0,            0.008416,            0.008416,            0.008416
                  82,            0.023336,            0.019217,                   0,             0.54055,             0.62553,             0.51715,             0.31671,            0.032885,            0.015539,                   0,           0.0083962,           0.0083962,           0.0083962
                  83,            0.022275,             0.01798,                   0,             0.55159,             0.67089,             0.61305,             0.41404,            0.030931,            0.013871,                   0,           0.0083764,           0.0083764,           0.0083764
                  84,            0.023575,            0.018647,                   0,             0.75142,             0.53165,             0.62864,              0.4173,            0.031659,             0.01521,                   0,           0.0083566,           0.0083566,           0.0083566
                  85,            0.021295,            0.018637,                   0,             0.56549,             0.67089,             0.60452,             0.39329,            0.033149,            0.015246,                   0,           0.0083368,           0.0083368,           0.0083368
                  86,            0.022932,            0.020541,                   0,             0.63468,             0.64557,              0.6031,             0.43073,            0.032777,            0.014919,                   0,            0.008317,            0.008317,            0.008317
                  87,            0.021969,            0.018073,                   0,             0.59687,             0.55696,             0.59511,             0.39152,            0.032141,            0.014307,                   0,           0.0082972,           0.0082972,           0.0082972
                  88,            0.022807,            0.019744,                   0,             0.53804,             0.58228,             0.55852,             0.34963,            0.027533,            0.014643,                   0,           0.0082774,           0.0082774,           0.0082774
                  89,            0.022394,            0.019152,                   0,             0.49286,             0.67663,             0.52589,             0.34829,            0.028135,            0.014578,                   0,           0.0082576,           0.0082576,           0.0082576
                  90,            0.021721,            0.019776,                   0,             0.54505,             0.59494,             0.56117,             0.37647,            0.029843,            0.014464,                   0,           0.0082378,           0.0082378,           0.0082378
                  91,             0.02348,            0.018599,                   0,              0.6249,             0.54832,             0.51697,             0.33864,            0.029978,            0.015311,                   0,            0.008218,            0.008218,            0.008218
                  92,            0.022133,            0.017703,                   0,             0.46906,             0.53681,              0.4241,             0.27842,            0.028865,            0.016935,                   0,           0.0081982,           0.0081982,           0.0081982
                  93,             0.02229,             0.01835,                   0,             0.54345,             0.64557,             0.49474,             0.30668,            0.030829,            0.015596,                   0,           0.0081784,           0.0081784,           0.0081784
                  94,            0.022265,            0.019057,                   0,             0.68789,             0.67089,             0.62196,             0.41292,            0.029284,             0.01441,                   0,           0.0081586,           0.0081586,           0.0081586
                  95,            0.022172,            0.019027,                   0,             0.62067,             0.59494,             0.56046,             0.35075,            0.029311,            0.015588,                   0,           0.0081388,           0.0081388,           0.0081388
                  96,            0.021879,            0.018175,                   0,             0.54514,             0.59169,             0.55934,             0.37857,            0.028126,            0.016913,                   0,            0.008119,            0.008119,            0.008119
                  97,            0.021379,            0.018342,                   0,             0.48987,             0.67089,              0.4913,             0.32994,            0.029828,            0.015907,                   0,           0.0080992,           0.0080992,           0.0080992
                  98,            0.020906,            0.017988,                   0,             0.68695,             0.51899,             0.60515,              0.4295,            0.028942,            0.015005,                   0,           0.0080794,           0.0080794,           0.0080794
                  99,            0.021064,            0.018266,                   0,             0.66365,             0.65823,             0.62958,             0.45903,            0.027767,            0.013468,                   0,           0.0080596,           0.0080596,           0.0080596
                 100,            0.021658,            0.018222,                   0,             0.62184,             0.59494,             0.56565,             0.37605,            0.029815,            0.014696,                   0,           0.0080398,           0.0080398,           0.0080398
                 101,            0.021275,            0.019232,                   0,             0.65791,             0.53562,             0.55375,             0.36687,            0.029281,            0.016393,                   0,             0.00802,             0.00802,             0.00802
                 102,            0.022827,            0.017961,                   0,              0.5579,              0.5443,             0.51545,             0.33611,            0.031322,            0.015726,                   0,           0.0080002,           0.0080002,           0.0080002
                 103,            0.021824,            0.018101,                   0,             0.64073,             0.55696,             0.59281,             0.38584,            0.031484,            0.016983,                   0,           0.0079804,           0.0079804,           0.0079804
                 104,            0.021425,            0.017985,                   0,             0.60738,             0.59494,              0.5338,             0.35892,            0.029943,             0.01619,                   0,           0.0079606,           0.0079606,           0.0079606
                 105,            0.020578,            0.018124,                   0,             0.57111,             0.56962,             0.49761,             0.29984,            0.031033,            0.015642,                   0,           0.0079408,           0.0079408,           0.0079408
                 106,            0.021097,            0.017846,                   0,             0.63462,             0.50633,             0.53312,             0.35136,            0.031934,            0.016474,                   0,            0.007921,            0.007921,            0.007921
                 107,            0.021258,            0.017464,                   0,             0.54512,             0.60759,             0.52356,             0.36765,            0.028726,            0.016479,                   0,           0.0079012,           0.0079012,           0.0079012
                 108,            0.020941,            0.016958,                   0,             0.61368,             0.59494,             0.53048,             0.36464,            0.029867,            0.016355,                   0,           0.0078814,           0.0078814,           0.0078814
                 109,             0.02125,            0.016158,                   0,             0.66582,             0.51899,             0.57466,             0.40241,            0.030512,            0.017843,                   0,           0.0078616,           0.0078616,           0.0078616
                 110,            0.021269,            0.017081,                   0,             0.70443,             0.56962,             0.59395,              0.4234,            0.029698,            0.017507,                   0,           0.0078418,           0.0078418,           0.0078418
                 111,            0.020492,            0.016771,                   0,             0.55653,             0.63291,             0.58534,             0.40724,            0.031983,            0.016407,                   0,            0.007822,            0.007822,            0.007822
                 112,            0.020152,            0.017295,                   0,             0.57505,             0.53102,             0.49639,             0.34975,            0.030989,            0.017975,                   0,           0.0078022,           0.0078022,           0.0078022
